,Pick,Years,Games,Minutes,FieldGoal_pcent,ThreePoint_pcent,Freethrow_pcent,Minutes_pg,Points_pg,Rebounds_pg,Assists_pg,Winshares,Winshares_p48,Box_plusminus,Value_over_replacement
0,1,5,296,9069,0.597,0.263,0.752,30.6,16.7,10.5,1.7,30.4,0.161,1.2,7.2
1,2,5,199,4905,0.505,0.283,0.67,24.6,13.2,7.3,0.9,8.8,0.086,-2.0,0.0
2,3,5,321,10996,0.466,0.339,0.737,34.3,27.5,8.6,8.0,38.3,0.167,7.3,25.8
3,4,5,255,6938,0.46,0.35,0.79,27.2,16.0,5.4,1.1,17.9,0.124,0.6,4.5
4,5,5,342,11570,0.439,0.352,0.876,33.8,25.6,3.7,9.3,32.3,0.134,3.2,15.1
5,6,5,273,4955,0.477,0.359,0.681,18.2,7.6,5.8,0.9,12.6,0.122,0.2,2.8
6,7,5,249,6966,0.515,0.31,0.732,28.0,12.8,8.9,2.1,16.9,0.116,-0.5,2.6
7,8,5,265,8308,0.464,0.382,0.826,31.4,19.0,2.9,3.2,8.0,0.046,-2.3,-0.7
8,9,5,263,4649,0.381,0.344,0.713,17.7,7.2,2.8,0.7,0.4,0.004,-4.4,-2.9
9,10,5,379,12185,0.499,0.381,0.852,32.2,12.7,4.0,2.3,31.4,0.124,1.2,9.9
10,11,5,301,9789,0.482,0.348,0.841,32.5,20.7,4.5,4.5,27.4,0.134,3.0,12.3
11,12,4,291,8460,0.473,0.346,0.809,29.1,13.4,5.6,2.3,16.0,0.091,-0.2,3.8
12,13,3,113,1604,0.363,0.31,0.721,14.2,4.5,1.8,1.2,-0.1,-0.003,-4.7,-1.1
13,14,4,177,4585,0.51,0.418,0.801,25.9,15.0,5.9,1.1,13.2,0.139,1.4,3.9
14,15,5,285,5674,0.43,0.348,0.776,19.9,6.6,3.9,1.5,7.3,0.061,-1.8,0.3
15,16,2,13,143,0.378,0.316,0.667,11.0,3.7,1.2,0.9,0.0,0.011,-6.1,-0.1
16,17,5,261,6347,0.418,0.362,0.779,24.3,9.1,4.6,2.7,12.5,0.095,0.0,3.2
17,18,5,259,5488,0.421,0.347,0.803,21.2,9.9,2.3,1.5,3.5,0.031,-2.9,-1.2
18,19,5,339,10068,0.443,0.386,0.763,29.7,12.1,3.4,3.1,13.7,0.065,-0.9,2.8
19,20,5,303,6040,0.404,0.289,0.749,19.9,6.5,3.0,1.2,7.5,0.059,-2.5,-0.7
20,21,5,256,5981,0.437,0.396,0.86,23.4,9.7,2.8,1.7,12.9,0.103,-0.4,2.4
21,22,4,103,1790,0.442,0.309,0.643,17.4,5.4,3.7,0.8,1.1,0.03,-3.9,-0.9
22,23,5,299,5192,0.413,0.377,0.842,17.4,6.7,1.7,2.2,5.4,0.05,-2.3,-0.4
23,24,5,271,6474,0.433,0.388,0.86,23.9,12.6,2.3,2.4,6.9,0.051,-1.8,0.3
24,25,5,244,3957,0.49,0.319,0.821,16.2,8.2,3.7,1.2,9.1,0.111,-0.8,1.2
25,26,5,292,6736,0.407,0.389,0.845,23.1,9.0,1.8,1.7,11.6,0.082,-1.8,0.4
26,27,5,202,4138,0.732,0.0,0.66,20.5,7.4,6.9,1.4,21.6,0.25,4.9,7.2
27,28,2,59,622,0.337,0.315,0.833,10.5,2.8,1.1,0.9,-0.6,-0.047,-7.4,-0.8
28,29,2,49,526,0.376,0.227,0.726,10.7,4.3,1.9,0.9,0.0,0.003,-4.6,-0.4
29,30,2,95,1691,0.417,0.366,0.766,17.8,6.8,4.3,1.0,2.4,0.068,-1.5,0.2
30,31,2,108,1677,0.395,0.315,0.737,15.5,4.8,1.7,2.2,0.5,0.014,-4.1,-0.9
31,32,5,292,4689,0.402,0.396,0.808,16.1,5.3,1.9,1.7,7.8,0.08,-0.8,1.4
32,33,5,339,9000,0.492,0.384,0.813,26.5,14.0,3.1,4.2,25.5,0.136,1.0,6.8
33,34,5,306,7886,0.373,0.358,0.818,25.8,11.6,2.3,4.5,12.6,0.077,-0.2,3.5
34,35,3,32,290,0.34,0.209,0.533,9.1,2.7,0.9,0.2,-0.4,-0.062,-10.0,-0.6
35,36,5,279,6810,0.716,0.0,0.53,24.4,8.3,7.8,0.6,30.4,0.214,2.3,7.4
36,37,5,264,7649,0.42,0.382,0.828,29.0,14.4,2.3,1.4,13.5,0.084,-0.7,2.4
37,38,3,39,409,0.388,0.316,0.75,10.5,4.1,1.0,0.9,0.5,0.058,-2.7,-0.1
38,39,4,143,1871,0.432,0.3,0.759,13.1,3.1,2.2,0.8,1.7,0.044,-3.6,-0.7
39,40,3,131,2103,0.444,0.329,0.739,16.1,6.0,3.1,0.9,2.3,0.052,-2.8,-0.4
40,41,5,232,4747,0.575,0.268,0.642,20.5,6.2,6.6,1.5,13.9,0.14,0.5,2.9
41,42,5,337,8225,0.482,0.344,0.745,24.4,8.3,4.2,2.4,16.0,0.094,-0.9,2.2
